Transaction ID,Transaction Date,Transaction Time,Store Number,Department,Item Code,Item Description,Quantity,Unit Price,Extended Price,Discount,Net Amount,Carrier,Service Level,Weight,Zone,Ship To State,Customer Account
TXN-2026-001,01/15/2026,09:15:00,4521,SHIP,UPS_GROUND,UPS Ground Shipping,1,12.50,12.50,0.00,12.50,UPS,Ground,3.5,4,GA,
TXN-2026-002,01/15/2026,09:30:00,4521,SHIP,UPS_GROUND,UPS Ground Shipping,1,12.50,12.50,0.00,12.50,UPS,Ground,5.2,5,FL,CUST-001
TXN-2026-003,01/15/2026,10:00:00,4521,PRINT,BW_COPY,B&W Copies,25,0.15,3.75,0.00,3.75,,,,,,
TXN-2026-004,01/16/2026,11:00:00,4521,SHIP,UPS_2DAY,UPS 2-Day Air,1,22.50,22.50,0.00,22.50,UPS,2nd Day Air,2.1,4,NY,
TXN-2026-005,01/16/2026,14:00:00,4521,PACK,PACK_SVC,Professional Packing Service,1,15.00,15.00,0.00,15.00,,,,,,CUST-002
TXN-2026-006,01/17/2026,09:00:00,4521,SHIP,UPS_GROUND,UPS Ground Shipping,1,12.50,12.50,0.00,12.50,UPS,Ground,8.0,5,CA,
TXN-2026-007,01/17/2026,10:30:00,4521,PRINT,COLOR_COPY,Color Copies,15,0.49,7.35,0.00,7.35,,,,,,
TXN-2026-008,01/18/2026,09:00:00,4521,MAILBOX,MB_BASIC,Mailbox Rental Basic,1,25.00,25.00,0.00,25.00,,,,,,CUST-003
TXN-2026-009,01/18/2026,11:00:00,4521,SHIP,UPS_GROUND,UPS Ground Shipping,1,12.50,12.50,0.00,12.50,UPS,Ground,4.0,4,SC,CUST-001
TXN-2026-010,01/19/2026,13:00:00,4521,SUPPLIES,BUBBLE_WRAP,Bubble Wrap Roll,2,8.50,17.00,0.00,17.00,,,,,,
TXN-2026-011,01/20/2026,09:00:00,4521,SHIP,UPS_GROUND,UPS Ground Shipping,1,12.50,12.50,0.00,12.50,UPS,Ground,6.5,5,TX,
TXN-2026-012,01/20/2026,10:00:00,4521,PRINT,BW_COPY,B&W Copies,50,0.15,7.50,0.00,7.50,,,,,,
TXN-2026-013,01/21/2026,14:00:00,4521,SHIP,UPS_OVERNIGHT,UPS Next Day Air,1,45.00,45.00,0.00,45.00,UPS,Next Day Air,1.5,4,NY,CUST-004
TXN-2026-014,01/21/2026,15:00:00,4521,PACK,PACK_SVC,Professional Packing Service,1,15.00,15.00,0.00,15.00,,,,,,CUST-001
TXN-2026-015,01/22/2026,09:00:00,4521,SHIP,UPS_GROUND,UPS Ground Shipping,1,12.50,12.50,2.00,10.50,UPS,Ground,3.0,4,AL,
TXN-2026-016,01/22/2026,11:00:00,4521,SHIP,UPS_GROUND,UPS Ground Shipping,1,12.50,12.50,0.00,12.50,UPS,Ground,7.5,5,WA,
TXN-2026-017,01/23/2026,09:30:00,4521,PRINT,BW_COPY,B&W Copies,100,0.15,15.00,0.00,15.00,,,,,,
TXN-2026-018,01/23/2026,10:00:00,4521,SHIP,UPS_3DAY,UPS 3 Day Select,1,16.00,16.00,0.00,16.00,UPS,3 Day Select,4.2,4,OH,
TXN-2026-019,01/24/2026,09:00:00,4521,MAILBOX,MB_BASIC,Mailbox Rental Basic,1,25.00,25.00,0.00,25.00,,,,,,CUST-005
TXN-2026-020,01/24/2026,14:00:00,4521,SUPPLIES,BOXES_SM,Small Shipping Boxes (3-pk),3,6.99,20.97,0.00,20.97,,,,,,
TXN-2026-021,01/25/2026,09:00:00,4521,SHIP,UPS_GROUND,UPS Ground Shipping,1,12.50,12.50,0.00,12.50,UPS,Ground,2.5,3,GA,CUST-001
TXN-2026-022,01/25/2026,11:30:00,4521,PRINT,COLOR_COPY,Color Copies,30,0.49,14.70,0.00,14.70,,,,,,
TXN-2026-023,01/26/2026,10:00:00,4521,SHIP,UPS_OVERNIGHT,UPS Next Day Air,1,45.00,45.00,0.00,45.00,UPS,Next Day Air,0.8,3,DC,CUST-006
TXN-2026-024,01/26/2026,13:00:00,4521,PACK,PACK_SVC,Professional Packing Service,1,15.00,15.00,0.00,15.00,,,,,,
TXN-2026-025,01/27/2026,09:15:00,4521,SHIP,UPS_GROUND,UPS Ground Shipping,1,12.50,12.50,0.00,12.50,UPS,Ground,9.0,5,MN,
TXN-2026-026,01/27/2026,14:00:00,4521,SUPPLIES,BUBBLE_WRAP,Bubble Wrap Roll,1,8.50,8.50,0.00,8.50,,,,,,
TXN-2026-027,01/28/2026,09:00:00,4521,MAILBOX,MB_BASIC,Mailbox Rental Basic,1,25.00,25.00,0.00,25.00,,,,,,CUST-007
TXN-2026-028,01/28/2026,10:30:00,4521,SHIP,UPS_2DAY,UPS 2-Day Air,1,22.50,22.50,0.00,22.50,UPS,2nd Day Air,1.8,3,MA,
TXN-2026-029,01/29/2026,11:00:00,4521,PRINT,BW_COPY,B&W Copies,75,0.15,11.25,0.00,11.25,,,,,,
TXN-2026-030,01/29/2026,14:30:00,4521,SHIP,UPS_GROUND,UPS Ground Shipping,1,12.50,12.50,0.00,12.50,UPS,Ground,5.5,4,TN,CUST-002
