Transaction ID,Transaction Date,Transaction Time,Store Number,Department,Item Code,Item Description,Quantity,Unit Price,Extended Price,Discount,Net Amount,Carrier,Service Level,Weight,Zone,Ship To State,Customer Account
TXN-001,02/08/2026,09:15:00,4521,SHIP,UPS_GROUND,UPS Ground Shipping,1,$12.50,$12.50,$0.00,$12.50,UPS,GROUND,3.2,4,TX,CUST-001
TXN-002,02/08/2026,09:32:00,4521,PRINT,BW_COPY,Black & White Copies,25,$0.12,$3.00,$0.00,$3.00,,,N/A,,,CUST-002
TXN-003,02/08/2026,10:05:00,4521,MAILBOX,MAILBOX_S,Small Mailbox Rental,1,$18.00,$18.00,$0.00,$18.00,,,N/A,,,CUST-003
TXN-004,02/08/2026,10:22:00,4521,SHIP,UPS_GROUND,UPS Ground Shipping,1,$12.50,$12.50,$0.00,$12.50,UPS,GROUND,7.5,3,FL,CUST-004
TXN-005,02/08/2026,11:00:00,4521,PRINT,COLOR_PRINT,Color Copies,50,$0.49,$24.50,$0.00,$24.50,,,N/A,,,CUST-005
TXN-006,02/08/2026,11:15:00,4521,SHIP,UPS_2DAY,UPS 2-Day Air,1,$28.00,$28.00,$0.00,$28.00,UPS,2DAY,2.0,5,NY,CUST-006
TXN-007,02/08/2026,11:45:00,4521,PACK,PACKING_SVC,Professional Packing,1,$18.00,$18.00,$0.00,$18.00,,,N/A,,,CUST-007
TXN-008,02/08/2026,12:10:00,4521,SHIP,UPS_GROUND,UPS Ground Shipping,1,$12.50,$12.50,$0.00,$12.50,UPS,GROUND,1.5,2,GA,CUST-008
TXN-009,02/08/2026,13:30:00,4521,PRINT,BW_COPY,Black & White Copies,100,$0.12,$12.00,$1.00,$11.00,,,N/A,,,CUST-009
TXN-010,02/08/2026,14:00:00,4521,SHIP,UPS_OVERNIGHT,UPS Next Day Air,1,$45.00,$45.00,$0.00,$45.00,UPS,NEXT DAY AIR,0.5,6,CA,CUST-010
TXN-011,02/13/2026,09:00:00,4521,SHIP,UPS_GROUND,UPS Ground Shipping,1,$12.50,$12.50,$0.00,$12.50,UPS,GROUND,5.0,4,NC,CUST-011
TXN-012,02/13/2026,09:20:00,4521,MAILBOX,MAILBOX_M,Medium Mailbox Rental,1,$24.00,$24.00,$0.00,$24.00,,,N/A,,,CUST-012
TXN-013,02/13/2026,10:10:00,4521,SUPPLIES,BOX_MEDIUM,Medium Box,2,$4.99,$9.98,$0.00,$9.98,,,N/A,,,CUST-013
TXN-014,02/13/2026,10:30:00,4521,PRINT,BINDING,Document Binding,1,$5.00,$5.00,$0.00,$5.00,,,N/A,,,CUST-014
TXN-015,02/13/2026,11:00:00,4521,SHIP,UPS_GROUND,UPS Ground Shipping,1,$12.50,$12.50,$0.00,$12.50,UPS,GROUND,8.2,5,PA,CUST-015
TXN-016,02/13/2026,11:45:00,4521,SHIP,UPS_3DAY,UPS 3 Day Select,1,$18.50,$18.50,$0.00,$18.50,UPS,3 DAY SELECT,3.0,4,OH,CUST-016
TXN-017,02/13/2026,13:00:00,4521,PRINT,COLOR_PRINT,Color Copies,20,$0.49,$9.80,$0.00,$9.80,,,N/A,,,CUST-017
TXN-018,02/13/2026,14:15:00,4521,SHIP,UPS_GROUND,UPS Ground Shipping,1,$12.50,$12.50,$0.00,$12.50,UPS,GROUND,4.0,3,FL,CUST-018
TXN-019,02/17/2026,09:00:00,4521,MAILBOX,MAILBOX_S,Small Mailbox Rental,1,$18.00,$18.00,$0.00,$18.00,,,N/A,,,CUST-019
TXN-020,02/17/2026,09:30:00,4521,SHIP,UPS_GROUND,UPS Ground Shipping,1,$12.50,$12.50,$0.00,$12.50,UPS,GROUND,9.5,5,IL,CUST-020
